MSA,MSA_old,PINCPC,POP,PINC,EMP,cbsa,RGDP,RGDPPC,D2I_Low,D2I_H,WRLURI,elasticity,FE_Y_G2,FE_Y_G3,FE_Y_G4,FE_NoY_G2,FE_NoY_G3,FE_NoY_G4,PINCPC_Top10,FE_Y_PoorG3_1,FE_NoY_PoorG3_1
"San Angelo, TX","San Angelo, TX",43896,120.501,5289508,73.41,41660,7357518,61057.73396,1.37,1.49,,,1,1,1,1,1,1,0,0,0
"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX",44874,2474.274,111030910,1455.46,41700,115793452,46798.96083,1.43,1.56,-0.21295145,2.9820375,1,1,1,1,1,1,0,0,0
"San Diego-Chula Vista-Carlsbad, CA","San Diego-Carlsbad, CA",58097,3325.468,193199828,2119.705,41740,210693896,63357.66755,1.955,2.335,0.46282488,0.6727623,1,1,1,1,1,1,1,0,0
"San Francisco-Oakland-Berkeley, CA","San Francisco-Oakland-Hayward, CA",92638,4710.693,436388051,3351.475,41860,472872746,100382.8409,1.53,1.685,0.67213905,0.68289673,1,2,1,1,1,1,1,0,0
"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA",98690,1993.582,196747512,1430.272,41940,289710772,145321.7234,0.8925,1.1175,0.20881456,0.76032656,1,1,1,1,1,1,1,0,0
"San Luis Obispo-Paso Robles, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA",55635,282.838,15735750,173.13,42020,16138584,57059.4616,2.57,,1.115155,1.2240349,1,1,1,1,1,1,0,0,0
"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA",64901,275.105,17854678,155.451,42100,13520021,49144.94829,2.57,,0.7640807,1.1887424,2,3,3,2,3,3,1,0,0
"Santa Fe, NM","Santa Fe, NM",55273,149.617,8269830,93.813,42140,5748226,38419.60472,2.4525,2.57,0.020290686,2.1905851,1,2,2,1,1,1,0,0,0
"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA",59633,445.606,26572680,276.436,42200,26861059,60279.84138,1.8825,2.2175,0.87240803,0.8891545,1,2,2,1,1,1,1,0,0
"Santa Rosa-Petaluma, CA","Santa Rosa, CA",60170,503.246,30280366,304.145,42220,27421167,54488.59405,2.4525,2.57,1.3241285,1.0017296,2,3,3,1,1,1,1,0,0
"Savannah, GA","Savannah, GA",44755,386.337,17290550,234.619,42340,18839697,48764.93062,1.595,1.765,-0.52421963,1.4564685,2,3,3,2,3,3,0,0,0
"Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA",43905,555.645,24395784,324.831,42540,25497710,45888.48995,1.02,1.15,0.007646776,1.6165924,1,2,2,2,2,2,0,0,0
"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA",69913,3884.469,271575069,2611.999,42660,332835662,85683.69628,1.46,1.595,1.1312938,1.0451405,2,3,3,2,2,4,1,0,0
"Sebastian-Vero Beach, FL","Sebastian-Vero Beach, FL",72149,154.314,11133656,80.405,42680,5130162,33244.95509,2.335,2.57,,,1,2,2,1,1,3,1,0,0
"Sebring-Avon Park, FL","Sebring, FL",32922,104.06,3425904,40.633,42700,2547217,24478.34903,1.81,2.1,,,2,3,3,2,3,3,0,0,0
"Sheboygan, WI","Sheboygan, WI",50722,115.235,5844985,74.532,43100,6619831,57446.35744,0.51,1.02,,,2,2,2,2,2,4,0,0,0
"Sherman-Denison, TX","Sherman-Denison, TX",40662,131.214,5335477,69.718,43300,4475124,34105.53752,1.26,1.3725,-1.0083613,4.7490015,2,3,3,2,3,3,0,0,0
"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA",43808,400.357,17538748,239.096,43340,22104981,55213.17474,1.595,1.765,,,2,2,2,2,2,2,0,0,0
"Sierra Vista-Douglas, AZ","Sierra Vista-Douglas, AZ",39165,124.99,4895203,51.109,43420,4259736,34080.61445,2.1,2.57,,,1,2,2,2,2,3,0,0,0
"Sioux City, IA-NE-SD","Sioux City, IA-NE-SD",48058,143.127,6878449,95.052,43580,7495029,52366.28309,0.6375,1.0525,-1.1173003,5.3568873,2,3,4,1,1,1,0,0,0
"Sioux Falls, SD","Sioux Falls, SD",57299,260.521,14927674,201.21,43620,17267303,66279.88915,1.085,1.205,-0.96180904,4.645673,2,3,3,2,2,3,1,0,0
"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI",45624,321.447,14665803,176.994,43780,13096715,40742.99962,1.205,1.315,-1.2400913,4.3622136,2,2,4,1,1,1,0,0,0
"Spartanburg, SC","Spartanburg, SC",41783,306.632,12812008,180.478,43900,13125872,42806.59553,1.2325,1.3425,,,1,2,2,2,2,4,0,0,0
"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA",44006,550.595,24229248,315.316,44060,23558813,42787.91671,1.63,1.81,0.68721837,1.6441077,2,3,4,2,3,4,0,0,0
"Springfield, IL","Springfield, IL",46056,209.175,9633687,128.998,44100,10377290,49610.56532,0.51,1.02,,,1,2,1,2,1,1,0,0,0
"Springfield, MA","Springfield, MA",50057,700.293,35054755,408.468,44140,30181745,43098.73867,1.2325,1.3425,0.71673334,1.5232978,2,3,3,2,3,4,0,0,0
"Springfield, MO","Springfield, MO",40306,462.3,18633452,283.362,44180,17629924,38135.24551,1.4,1.525,-0.75128365,3.5972419,2,3,3,2,2,4,0,0,0
"Springfield, OH","Springfield, OH",39235,134.649,5282966,62.171,44220,4352218,32322.69085,1.43,1.56,,,1,2,2,2,1,1,0,0,0
"State College, PA","State College, PA",44527,162.25,7224437,119.115,44300,7926572,48854.06471,1.15,1.26,0.7740856,2.4057698,1,2,1,1,1,1,0,0,0
"Staunton, VA","Staunton-Waynesboro, VA",42622,121.984,5199161,65.173,44420,4842978,39701.74777,1.63,1.81,,,1,2,2,1,1,1,0,0,0
"Stockton, CA","Stockton-Lodi, CA",42391,742.516,31475861,331.977,44700,28027041,37746.04318,2.1,2.57,0.58965874,2.072873,1,1,1,1,1,1,0,0,0
"Sumter, SC","Sumter, SC",35768,140.514,5025970,66.275,44940,4251788,30258.82119,1.56,1.72,-0.9014547,3.8401868,1,2,1,1,1,1,0,0,1
"Syracuse, NY","Syracuse, NY",48009,651.048,31256367,383.083,45060,36412174,55928.55519,0.6375,1.0525,-0.5863397,2.2087793,1,1,1,1,1,1,0,0,0
"Tallahassee, FL","Tallahassee, FL",40605,383.467,15570591,228.074,45220,15837439,41300.6569,1.2325,1.3425,,,2,3,3,2,3,3,0,0,0
"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL",45313,3091.225,140073159,1780.852,45300,137030695,44328.92947,1.56,1.72,-0.2189571,0.9978694,2,3,3,2,3,3,0,0,0
"Terre Haute, IN","Terre Haute, IN",36789,186.925,6876722,91.899,45460,7166368,38338.19981,1.0525,1.1775,-1.3878751,6.5088487,2,3,3,2,2,4,0,0,0
"Texarkana, TX-AR","Texarkana, TX-AR",36485,150.254,5482014,78.848,45500,5122467,34092.05079,1.085,1.205,-0.7725667,3.8152156,1,2,2,1,1,3,0,0,1
"The Villages, FL","The Villages, FL",44097,124.933,5509132,42.991,45540,2397299,19188.67713,2.57,,,,2,3,3,2,3,4,0,0,0
"Toledo, OH","Toledo, OH",44668,644.462,28786541,395.99,45780,34029973,52803.69207,0.8925,1.1175,-0.5664964,2.2091424,2,3,4,2,3,4,0,0,0
"Topeka, KS","Topeka, KS",43758,233.153,10202267,144.533,45820,9849673,42245.53405,0.51,1.02,-0.9388171,4.4381547,2,3,3,2,3,4,0,0,0
"Trenton-Princeton, NJ","Trenton, NJ",65877,368.602,24282260,283.989,45940,27815178,75461.27802,0.51,1.02,1.7536701,1.8817972,2,3,4,2,2,1,1,0,0
"Tucson, AZ","Tucson, AZ",42133,1027.502,43291870,518.656,46060,38636977,37602.82413,1.81,2.1,1.5173635,1.4191339,2,2,3,2,3,4,0,0,0
"Tulsa, OK","Tulsa, OK",51134,991.61,50705092,602.7,46140,51847954,52286.6389,1.2875,1.4,-0.78415143,3.3535187,2,2,3,2,2,3,0,0,0
"Tuscaloosa, AL","Tuscaloosa, AL",36396,251.018,9135950,139.724,46220,9678717,38557.86039,1.2325,1.3425,,,2,3,3,2,3,4,0,0,0
"Tyler, TX","Tyler, TX",52034,227.46,11835720,149.94,46340,9904909,43545.71793,1.205,1.315,0.15592432,2.7040546,2,3,3,2,3,3,0,0,0
"Urban Honolulu, HI","Urban Honolulu, HI",57049,986.429,56274893,657.903,46520,59924134,60748.55261,2.1,2.57,,,2,2,2,2,2,2,1,0,0
"Utica-Rome, NY","Utica-Rome, NY",42790,292.336,12509125,156.06,46540,11789161,40327.43487,1.085,1.205,-0.732668,2.7906203,1,1,1,1,1,1,0,0,0
"Valdosta, GA","Valdosta, GA",34613,145.403,5032900,77.77,46660,4940605,33978.70058,1.525,1.675,,,2,3,3,2,3,3,0,0,0
"Vallejo, CA","Vallejo-Fairfield, CA",48364,443.877,21467887,199.445,46700,22841474,51459.0168,2.57,,0.9641886,1.1440909,1,1,1,1,1,1,0,0,0
"Victoria, TX","Victoria, TX",43469,99.651,4331739,57.657,47020,4854105,48711.05157,1.205,1.315,,,2,3,3,2,3,3,0,0,0
"Vineland-Bridgeton, NJ","Vineland-Bridgeton, NJ",38630,151.748,5861990,75.53,47220,5954454,39239.09376,1.205,1.315,1.1887708,1.8503134,2,2,2,1,1,1,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC",48485,1761.305,85397443,1073.003,47260,87801252,49850.11227,2.0275,2.4525,0.11995864,0.8157288,2,3,3,2,3,3,0,0,0
"Visalia, CA","Visalia-Porterville, CA",39018,463.097,18069207,207.338,47300,17773212,38379.02642,1.63,1.81,0.45812285,1.9665818,1,1,1,1,1,1,0,0,0
"Waco, TX","Waco, TX",39182,268.55,10522336,160.448,47380,12297931,45793.82238,0.51,1.02,,,2,3,3,2,3,3,0,0,0
"Walla Walla, WA","Walla Walla, WA",44178,60.652,2679511,35.732,47460,2995360,49386.00541,1.43,1.56,,,1,2,2,2,3,3,0,0,0
"Warner Robins, GA","Warner Robins, GA",40517,180.019,7293904,95.968,47580,6797329,37758.95322,1.765,2.0275,,,2,3,4,2,3,3,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",69298,6213.246,430564944,4360.516,47900,471918848,75953.67188,1.63,1.81,0.31053925,1.6058275,2,2,3,2,3,3,1,0,0
"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA",43591,169.553,7390946,112.872,47940,8638962,50951.39573,1.145,1.26,-0.8396053,4.427537,2,2,2,2,2,2,0,0,0
"Watertown-Fort Drum, NY","Watertown-Fort Drum, NY",45476,113.063,5141615,67.316,48060,5929646,52445.50383,1.37,1.49,,,1,1,1,1,1,1,0,0,0
"Wausau-Weston, WI","Wausau, WI",47260,163.181,7711998,106.619,48140,8906420,54580.00625,0.51,1.02,0.18397494,2.7627184,2,2,2,2,2,2,0,0,0
"Weirton-Steubenville, WV-OH","Weirton-Steubenville, WV-OH",38472,118.181,4546694,49.592,48260,5618342,47540.14605,1.315,1.43,-0.53316337,2.7437396,2,2,2,2,2,1,0,0,0
"Wenatchee, WA","Wenatchee, WA",48045,118.646,5700404,71.326,48300,5937499,50043.81943,1.685,1.91,,,2,3,4,1,1,1,0,0,0
"Wheeling, WV-OH","Wheeling, WV-OH",45613,141.228,6441832,81.639,48540,11959848,84684.68009,0.51,1.02,-1.3376187,3.1188865,1,2,2,1,1,1,0,0,0
"Wichita, KS","Wichita, KS",48818,637.636,31128209,392.955,48620,31780917,49841.78591,1.205,1.315,-1.1872097,5.453317,2,3,3,2,2,4,0,0,0
"Wichita Falls, TX","Wichita Falls, TX",41395,151.18,6258027,91.032,48660,5923886,39184.32332,1.205,1.315,-0.58532643,3.8691676,1,2,1,1,1,2,0,0,0
"Williamsport, PA","Williamsport, PA",41587,113.93,4738005,68.199,48700,6569871,57665.85623,1.1775,1.2875,,,1,2,2,1,1,1,0,0,0
"Wilmington, NC","Wilmington, NC",41953,289.425,12142264,174.362,48900,12991240,44886.37816,1.81,2.1,,,2,2,2,2,2,4,0,0,0
"Winchester, VA-WV","Winchester, VA-WV",46303,138.107,6394742,81.881,49020,5809606,42065.97783,1.81,2.1,,,2,3,4,2,3,3,0,0,0
"Winston-Salem, NC","Winston-Salem, NC",43306,666.746,28874233,354.918,49180,29500651,44245.71126,1.4025,1.53,,,1,2,2,1,1,1,0,0,0
"Worcester, MA-CT","Worcester, MA-CT",53273,942.303,50199671,526.032,49340,44399035,47117.57789,1.675,1.8825,,,2,3,4,1,1,1,0,0,0
"Yakima, WA","Yakima, WA",41868,250.377,10482682,132.774,49420,9618897,38417.65418,1.26,1.3725,,,2,3,4,2,2,3,0,0,0
"York-Hanover, PA","York-Hanover, PA",47835,445.722,21321290,238.102,49620,18301760,41060.93036,1.595,1.765,1.1559123,1.9949545,1,2,2,1,1,1,0,0,0
"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA",40496,541.875,21943522,284.723,49660,19799479,36538.83091,1.15,1.26,-0.29096842,2.5245693,2,3,4,2,3,3,0,0,0
"Yuba City, CA","Yuba City, CA",41270,173.213,7148530,71.585,49700,6313586,36449.83922,2.2175,2.57,0.20115004,2.6539721,1,1,1,1,1,1,0,0,0
"Yuma, AZ","Yuma, AZ",35049,209.756,7351746,88.348,49740,7783381,37106.83365,1.7925,2.0725,0.587611,2.5822918,2,3,3,2,2,4,0,0,0
